JobTitle,Company,Location,Experience,Degree,Summary,Salary,JobUrl,PostDate,ExtractDate
資深資料科學家(Senior Data Scientist)-台北,華翰物產實業股份有限公司,台北市中山區,3年以上,大學,關預測5. 須與資料工程師共同建立資料流與開發相關API6. 開發相關介面與儀表板供內部使用者使用7. 須持續學習並精進相關技術(不只限於工程領域)●必備條件:1. 熟練Python以及資料處理相關技術2. 有訓練數值型模型的業界經驗,"月薪60,000元以上",https://www.104.com.tw/job/7f52h?jobsource=jolist_a_relevance,1/06,2022-01-11
後端⼯程師,恒遠科技有限公司,台北市內湖區,2年以上,專科,"上相關⼯作經驗2. 我們用Python，或者您熟悉至少一種後端語言 (包含但不限於 Golang, Java, C# 等)3. 熟悉MySQL語法，能根據執行計畫調整查詢4. 用過 ElasticSearch/Redis/MQ5. 對於改善",,https://www.104.com.tw/job/7be67?jobsource=jolist_a_relevance,1/07,2022-01-11
RD20463 Machine Learning Scientist(時間序列預測模型),華碩電腦股份有限公司,台北市北投區,1年以上,大學,1.Understanding and the problem with respect to domain knowledge2.Conduct data preparation with SQL and Python which,,https://www.104.com.tw/job/731jy?jobsource=jolist_a_relevance,12/28,2022-01-11
Senior Data Engineer,Migo_熱鬧點科技有限公司,台北市大安區,6年以上,大學,experience in at least one scripting language (Python preferred).,,https://www.104.com.tw/job/7bef1?jobsource=jolist_a_relevance,1/11,2022-01-11
量化交易實習生 Trader Intern,薩摩亞商幣盛德富科技股份有限公司台灣分公司,台北市信義區,經歷不拘,大學,◆挖掘市場套利交易機會◆協助套利交易相關研究◆協助造市交易相關研究◆協助Defi市場分析,時薪168元以上,https://www.104.com.tw/job/79cls?jobsource=jolist_a_relevance,1/10,2022-01-11
Sr.DevOps (Operations) Engineer | 系統運維工程師 (可年後入職),一通數位有限公司,台北市內湖區,2年以上,大學,式設計語言(例如Python或Golang等)。3.	熟Shell。4.	富責任感、注重團隊精神，喜歡解任務、持續不斷學習新科技、新技術。【加分條件】1.	有撰寫自動化腳本經驗。2.	熟悉 Docker容器化技術，並且有實際經驗。3.,"年薪1,000,000元以上",https://www.104.com.tw/job/7f9g8?jobsource=jolist_a_relevance,1/06,2022-01-11
數據分析師,鑫邦科技股份有限公司,台北市中山區,1年以上,專科,◆ ElasticSearch 資料匯入與分析◆ Data Warehouse ETL建置程序設計◆ 網路封包數據統計分析◆ 分析各種結構化或非結構化資料您毋需擔憂對網路Domain KnowHow是否熟悉，只要已俱備資料庫技術，公司會進行產業知識的傳授，對海量資料分析有崇高興趣者，都歡迎進行深度溝通瞭解,"月薪50,000~70,000元",https://www.104.com.tw/job/7g7el?jobsource=jolist_a_relevance,12/23,2022-01-11
電腦視覺算法工程師 Algorithm Engineer (Senior),羅傑斯人工智能股份有限公司,台北市大同區,5年以上,大學,工作內容：進行CV算法的開發，驗證，以及優化現有的方法任職條件：1. 對人工智慧算法研發有強烈熱誠與興趣。2. 計算機，電子工程，自動化方向相關學歷，有機器學習或深度學習研究背景。3. 熟悉 C++和Python編程，具有算法實現能力,,https://www.104.com.tw/job/6my9d?jobsource=jolist_a_relevance,12/22,2022-01-11
Software Quality Assurance (SQA) Manager,美商連科股份有限公司,台北市內湖區,10年以上,大學,writing automated tests using Python and Javascript* Proficiency in Python and Javascript* Experience building Software QA,,https://www.104.com.tw/job/7eief?jobsource=jolist_a_relevance,1/06,2022-01-11
【PropTech數位人才招募】Python開發工程師,信義房屋股份有限公司,台北市信義區,3年以上,大學,【關於PropTech數位人才招募計劃】信義企業集團的各項產品與計畫正融入大數據、機器學習與人工智慧等應用，我們的數位團隊也持續致力於「房地產科技創新」與「數位居住生活」兩大面向，以創新智能工具，為使用者提供超乎想像的服務體驗。我們希望讓居住在這片土地上的人們，在「不動產交易買賣」與「居住生活日常」有更好的保障與體驗，也期待你與我們一起，加速這個改變。這裡匯聚了40年的集團產業資源，以及多元化的人才；接下來，想邀請你加入，與我們一起創造超乎想像的體驗，成就即將到來的未來！【工作內容】歡迎想跨入數據領域，從零到有發展新型態數據應用平台的後端夥伴想知道 數據如何在服務業是如何產出落地，產生價值，歡迎一起來加入我們是一支scrum團隊，透明溝通是最基本原則，技術方面，我們鼓勵夥伴探索新技術及新工具，樂於讓大家參與技術論壇，有成功投稿更有額外福利喔。在團隊中你會負責：1.與數據團隊合作，進行數據應用與數據治理相關平台開發。2.協助數據ETL流程開發，發展自動化數據處理作業。3.創新數據服務平臺開發，進行CI/CD 優化開發/部署流程。【具備條件】1.3年以上軟體(專案/產品)規劃與開發經驗2.獨立運作專案能力，能快速了解領域知識能力。3.本職務以後端＆API開發為主，有部分前端任務，有套版或bootstrap等應用經驗即可。,,https://www.104.com.tw/job/7e4dy?jobsource=jolist_a_relevance,12/29,2022-01-11
